hbase,hive,zw,dtype
n,name,电影名字,string
m,male,男性比例,float
fm,female,女性比例,float
un20,under20,20岁以下,float
20to24,20to24,20到24岁,float
25to29,25to29,25到29岁,float
30to34,30to34,30到34岁,float
35to39,35to39,35到39岁,float
ab40,above40,40岁以上,float
dg_h,degree_high,高学历,float
dg_l,degree_low,低学历,float
ct1,city1,一线城市,float
ct2,city2,二线城市,float
ct3,city3,三线城市,float
ct4,city4,四线城市,float
oc_w,occupation_whitecollar,白领,float
oc_s,occupation_student,学生,float
oc_o,occupation_others,其他职业,float
pf_ac,preference_action,偏好动作片,float
pf_co,preference_comedy,偏好喜剧片,float
pf_ro,preference_romance,偏好爱情片,float
pf_sc,occupation_science,偏好科幻片,float
pf_an,occupation_animate,偏好动画片,float
dr,director,导演,string
a1,actor1,演员1,string
a2,actor2,演员2,string
a3,actor3,演员3,string
a4,actor4,演员4,string
t_aq,t_romance,爱情,int
t_xj,t_comedy,喜剧,int
t_dh,t_animate,动画,int
t_jq,t_plot,剧情,int
t_kb,t_horror,恐怖,int
t_js,t_thriller,惊悚,int
t_kh,t_science,科幻,int
t_dz,t_action,动作,int
t_xy,t_suspense,悬疑,int
t_fz,t_crime,犯罪,int
t_mx,t_adventure,冒险,int
t_zz,t_war,战争,int
t_qh,t_fantasy,奇幻,int
t_yd,t_sports,运动,int
t_jt,t_family,家庭,int
t_gz,t_costume,古装,int
t_wx,t_sword,武侠,int
t_xb,t_cowboy,西部,int
t_ls,t_history,历史,int
t_zj,t_biography,传记,int
t_gw,t_dance,歌舞,int
t_hs,t_dark,黑色电影,int
t_dp,t_short,短片,int
t_jl,t_documentary,纪录片,int
t_qt,t_others,其他,int
c_dl,c_Mainland,大陆,int
c_mg,c_America,美国,int
c_hg,c_Korea,韩国,int
c_rb,c_Japan,日本,int
c_xg,c_Hongkong,香港,int
c_tw,c_Taiwan,台湾,int
c_tg,c_Thailand,泰国,int
c_yd,c_India,印度,int
c_fg,c_France,法国,int
c_yg,c_England,英国,int
c_els,c_Russia,俄罗斯,int
c_ydl,c_Italy,意大利,int
c_xby,c_Spain,西班牙,int
c_dg,c_Germany,德国,int
c_bl,c_Poland,波兰,int
c_ad,c_Australia,澳大利亚,int
c_yl,c_Iran,伊朗,int
c_qt,c_Others,其他,int
bof,boxoffice,票房,float
da,mdate,上映日期,string
len,length,电影时长,int
sc,score,电影评分,float
sc_p,score_people,评分人数,float
